,Unnamed: 0,日期,收盘,开盘,高,低,涨跌幅,收盘点位_x,全收益收盘点位(元)_x,市值(元)_x,流通市值(元)_x,自由流通市值(元)_x,股息率市值加权,收盘点位_y,全收益收盘点位(元)_y,市值(元)_y,流通市值(元)_y,自由流通市值(元)_y,PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
0,2572,2015/1/1,3.613,3.613,3.613,3.613,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2571,2015/1/4,3.621,3.621,3.621,3.621,0.22%,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2570,2015/1/5,3.607,3.63,3.63,3.603,-0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2569,2015/1/6,3.62,3.627,3.634,3.613,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2568,2015/1/7,3.619,3.628,3.628,3.607,-0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2567,2015/1/8,3.616,3.637,3.637,3.608,-0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2566,2015/1/9,3.614,3.635,3.635,3.614,-0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2565,2015/1/12,3.614,3.66,3.66,3.607,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2564,2015/1/13,3.602,3.625,3.625,3.59,-0.33%,,,,,,,,,,,,,,,,,0.033433,0.032123,0.032014,0.03232,0.032681,0.034551,0.035301,0.035835,0.039918,0.040921
9,2563,2015/1/14,3.551,3.604,3.604,3.54,-1.42%,3502.423,4033.7,2.78059E+13,2.05329E+13,7.64688E+12,0.024,3502.423,4033.7,2.78059E+13,2.05329E+13,7.64688E+12,12.9406,0.3552,26.2899,14.9905,10.3429,0.033433,0.03218,0.032012,0.032196,0.03246,0.034379,0.034925,0.035411,0.039494,0.040497
10,2562,2015/1/15,3.515,3.529,3.53,3.508,-1.01%,3604.121,4150.82,2.88719E+13,2.13391E+13,7.86861E+12,0.0231,3604.121,4150.82,2.88719E+13,2.13391E+13,7.86861E+12,13.4367,0.3896,26.2899,14.9897,10.3429,0.032933,0.032248,0.032059,0.03209,0.032267,0.034575,0.034957,0.035464,0.039694,0.040697
11,2561,2015/1/16,3.512,3.513,3.521,3.497,-0.09%,3635.146,4186.56,2.92314E+13,2.16037E+13,7.93881E+12,0.0228,3635.146,4186.56,2.92314E+13,2.16037E+13,7.93881E+12,13.604,0.408,26.2899,14.9887,10.3429,0.03208,0.031601,0.032029,0.032088,0.032248,0.034011,0.03439,0.035017,0.039247,0.04025
12,2560,2015/1/19,3.473,3.48,3.51,3.43,-1.11%,3355.155,3864.09,2.67928E+13,1.98215E+13,7.32521E+12,0.0249,3355.155,3864.09,2.67928E+13,1.98215E+13,7.32521E+12,12.4691,0.3426,26.2899,14.9876,10.3429,0.031906,0.031801,0.031887,0.032026,0.032254,0.034013,0.034385,0.03475,0.03898,0.039983
13,2559,2015/1/20,3.47,3.47,3.473,3.46,-0.09%,3396.222,3911.39,2.71526E+13,2.01131E+13,7.41067E+12,0.0246,3396.222,3911.39,2.71526E+13,2.01131E+13,7.41067E+12,12.6366,0.3475,26.2899,14.9849,10.3429,0.032206,0.031776,0.031812,0.031936,0.032165,0.03399,0.034276,0.034711,0.038941,0.039944
14,2558,2015/1/21,3.448,3.464,3.464,3.442,-0.63%,3548.885,4087.21,2.85666E+13,2.11492E+13,7.74664E+12,0.0234,3548.885,4087.21,2.85666E+13,2.11492E+13,7.74664E+12,13.2946,0.3751,26.2781,14.9821,10.3508,0.032006,0.032028,0.031752,0.031909,0.032161,0.03382,0.034132,0.034672,0.038902,0.039905
15,2557,2015/1/22,3.432,3.445,3.455,3.418,-0.46%,3567.613,4108.78,2.86407E+13,2.12195E+13,7.78791E+12,0.0233,3567.613,4108.78,2.86407E+13,2.12195E+13,7.78791E+12,13.3291,0.3779,26.2781,14.9758,10.3508,0.031606,0.031533,0.031652,0.031809,0.032055,0.033651,0.033986,0.034521,0.03875,0.039753
16,2556,2015/1/23,3.424,3.431,3.435,3.416,-0.23%,3571.732,4113.52,2.8748E+13,2.13066E+13,7.79959E+12,0.0232,3571.732,4113.52,2.8748E+13,2.13066E+13,7.79959E+12,13.379,0.3832,26.2781,14.9695,10.3508,0.031706,0.031454,0.031606,0.031741,0.03196,0.033513,0.034002,0.03452,0.038749,0.039752
17,2555,2015/1/26,3.417,3.45,3.45,3.405,-0.20%,3607.985,4155.27,2.90693E+13,2.14036E+13,7.87347E+12,0.0229,3607.985,4155.27,2.90693E+13,2.14036E+13,7.87347E+12,13.5136,0.3994,26.2781,14.9637,10.3508,0.031428,0.03128,0.031427,0.03143,0.031534,0.033272,0.033645,0.034341,0.03857,0.039573
18,2554,2015/1/27,3.401,3.423,3.423,3.383,-0.47%,3574.931,4117.21,2.86934E+13,2.11363E+13,7.79842E+12,0.0232,3574.931,4117.21,2.86934E+13,2.11363E+13,7.79842E+12,13.3388,0.3787,26.2781,14.9579,10.3508,0.031428,0.031096,0.030817,0.031241,0.031701,0.03322,0.033979,0.034309,0.038538,0.039541
19,2553,2015/1/28,3.413,3.413,3.435,3.4,0.35%,3525.323,4060.07,2.82107E+13,2.07969E+13,7.68943E+12,0.0236,3525.323,4060.07,2.82107E+13,2.07969E+13,7.68943E+12,13.1144,0.3634,26.2645,14.9571,10.3521,0.031147,0.031217,0.030955,0.031333,0.031794,0.033806,0.034275,0.034767,0.038638,0.039674
20,2552,2015/1/29,3.447,3.43,3.454,3.43,1.00%,3481.798,4009.95,2.77909E+13,2.04797E+13,7.59282E+12,0.024,3481.798,4009.95,2.77909E+13,2.04797E+13,7.59282E+12,12.9192,0.3528,26.2645,14.9562,10.3521,0.031547,0.031028,0.03098,0.031405,0.031926,0.034086,0.034502,0.034966,0.038838,0.039874
21,2551,2015/1/30,3.464,3.45,3.468,3.45,0.49%,3434.39,3955.35,2.73583E+13,2.01597E+13,7.49E+12,0.0244,3434.39,3955.35,2.73583E+13,2.01597E+13,7.49E+12,12.7182,0.348,26.2645,14.9547,10.3521,0.031847,0.031428,0.030963,0.031553,0.032198,0.034117,0.034402,0.035019,0.03889,0.039926
22,2550,2015/2/1,3.464,3.464,3.464,3.464,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2549,2015/2/2,3.442,3.51,3.51,3.442,-0.64%,3353.96,3862.72,2.65387E+13,1.95747E+13,7.31429E+12,0.0251,3353.96,3862.72,2.65387E+13,1.95747E+13,7.31429E+12,12.3371,0.3395,26.2645,14.9532,10.3521,0.031947,0.031368,0.030832,0.031417,0.032044,0.033753,0.034036,0.034729,0.0386,0.039636
24,2548,2015/2/3,3.42,3.448,3.448,3.415,-0.64%,3437.445,3958.87,2.72725E+13,2.01229E+13,7.49779E+12,0.0245,3437.445,3958.87,2.72725E+13,2.01229E+13,7.49779E+12,12.6782,0.3473,26.2645,14.9498,10.3521,0.032347,0.031567,0.030907,0.031432,0.032033,0.033787,0.033901,0.034533,0.038403,0.039439
