,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权
2430,2015-01-14,3502.423,4033.7,27805924687054.4,20532850237760.0,7646880368364.152,0.024
2429,2015-01-15,3604.121,4150.82,28871944624276.7,21339061860720.0,7868606858668.483,0.0231
2428,2015-01-16,3635.146,4186.56,29231397452153.9,21603749840978.0,7938814036777.717,0.0228
2427,2015-01-19,3355.155,3864.09,26792782955960.195,19821516922526.0,7325210972483.978,0.0249
2426,2015-01-20,3396.222,3911.39,27152623390964.984,20113063871714.0,7410671066613.443,0.0246
2425,2015-01-21,3548.885,4087.21,28566594685788.8,21149211468594.0,7746642448528.382,0.0234
2424,2015-01-22,3567.613,4108.78,28640694087323.297,21219451570218.0,7787905360931.998,0.0233
2423,2015-01-23,3571.732,4113.52,28747957754111.2,21306590356118.0,7799588708475.73,0.0232
2422,2015-01-26,3607.985,4155.27,29069337784972.19,21403622493504.0,7873466845986.371,0.0229
2421,2015-01-27,3574.931,4117.21,28693429793831.9,21136332118060.0,7798416644077.414,0.0232
2420,2015-01-28,3525.323,4060.07,28210719110151.1,20796929212988.0,7689429144573.862,0.0236
2419,2015-01-29,3481.798,4009.95,27790893839602.91,20479712179769.0,7592815732753.621,0.024
2418,2015-01-30,3434.39,3955.35,27358315601103.89,20159719537497.0,7489999027380.58,0.0244
2417,2015-02-02,3353.96,3862.72,26538730111882.19,19574680230013.0,7314289211509.008,0.0251
2416,2015-02-03,3437.445,3958.87,27272466175836.707,20122853951544.0,7497789858253.608,0.0245
2415,2015-02-04,3401.768,3917.78,26941959270804.5,19883216488880.0,7416568084251.198,0.0248
2414,2015-02-05,3366.946,3877.67,26607893994838.7,19638712002834.0,7343660018880.451,0.0251
2413,2015-02-06,3312.42,3814.88,26085023552411.305,19256538072845.0,7223869162026.493,0.0256
2412,2015-02-09,3345.921,3853.46,26330071667909.31,19445494925229.0,7298440570164.344,0.0253
2411,2015-02-10,3406.943,3923.74,26792880656812.992,19798966513370.0,7432770435271.374,0.0249
2410,2015-02-11,3434.124,3955.04,26932036174639.1,19905579870042.0,7492371772843.114,0.0248
2409,2015-02-12,3442.874,3965.12,27021270615628.81,19984132590425.0,7511296577140.194,0.0247
2408,2015-02-13,3469.828,3996.16,27261932442186.305,20132064581241.0,7568843614412.931,0.0245
2407,2015-02-16,3499.483,4030.32,27381042518453.29,20222295866059.0,7632996639052.814,0.0244
