日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权
2025-01-10,3732.48,5356.81,54813466572988.75,40767997365584,18644888459244.78,0.0378
2025-01-09,3779.88,5423.17,55487985614604.83,41246294148155,18882758586352.914,0.0373
2025-01-08,3789.22,5436.57,55846902234216.16,41471726113518,18929618234043.348,0.0371
2025-01-07,3796.11,5444.91,55791403262881.24,41495651460727,18959267999049.33,0.0371
2025-01-06,3768.97,5404.64,55485720365573.05,41301341288902,18829878920221.887,0.0373
2025-01-03,3775.16,5413.52,55611092525114.5,41326292004234,18858509366575.71,0.0372
2025-01-02,3820.4,5478.38,56185183584717.34,41751136880706,19080007586067.84,0.0368
2024-12-31,3934.91,5642.6,57832855225082.06,42974496365333,19648242187083.094,0.0357
2024-12-30,3999.05,5734.58,58522901653808.59,43555876675536,19966191239302.016,0.0352
2024-12-27,3981.03,5708.06,58163656644867.8,43330072840724,19877911345379.08,0.0355
2024-12-26,3987.48,5717.07,58228194905022.63,43374229706190,19910765060127.1,0.0354
2024-12-25,3985.63,5714.38,58359869275944.7,43427297410315,19900865905346.73,0.0353
2024-12-24,3983.69,5711.53,58101459287095.31,43286615731649,19890077512600.04,0.0354
2024-12-23,3933.57,5639.68,57345288030966.96,42727454724755,19636588780999.32,0.0359
2024-12-20,3927.74,5631.33,56933471132514.97,42510791288178,19599812590873.94,0.0361
2024-12-19,3945.46,5651.96,57190351649608.17,42725494969011,19687506131699.32,0.036
2024-12-18,3941.89,5646.84,57312950034489.81,42821762734700,19674540781434.92,0.0359
2024-12-17,3922.03,5618.21,56980563083753.12,42610759567472,19577794359421.203,0.0361
2024-12-16,3911.84,5603.61,56235407443578.13,42017316692954,19211735536695.24,0.0365
2024-12-13,3933.18,5634.17,56199802171834.8,42094359815293,19323642083767.844,0.0364
2024-12-12,4028.5,5770.54,57337183903992.58,43031211634752,19793047091200.055,0.0357
2024-12-11,3988.83,5713.66,56760518612779.69,42603441864196,19599079653168.004,0.036
2024-12-10,3995.64,5723.11,56954533504174.93,42713396654817,19636301587336.242,0.0358
2024-12-09,3966.57,5681.43,56590979348291.73,42429728307612,19490512712107.402,0.036
2024-12-06,3973.14,5690.84,56568314248080.46,42402971732255,19521155791930.55,0.036
2024-12-05,3921.59,5617,55948252459752.95,41907720733891,19264799522838.133,0.0364
2024-12-04,3930.56,5629.85,56121598157407.91,42024035207262,19308322786642.414,0.0363
2024-12-03,3951.89,5660.4,56141183357617.63,42117729516973,19410341156379.035,0.0363
2024-12-02,3947.63,5654.3,55847261987465.02,41951938103751,19385978481368.742,0.0365
2024-11-29,3916.58,5609.78,55510598760286.12,41578451777814,19231196951901.1,0.0367
2024-11-28,3872.55,5546.4,55096231811235.33,41229595313342,19016858645921.03,0.0368
2024-11-27,3907.04,5594.88,55506417433346.84,41553250261162,19185884728306.625,0.0364
2024-11-26,3840.18,5499.13,54689377399870.32,40926681886468,18861266965278.48,0.037
2024-11-25,3848.09,5510.46,54632555052580.55,40924391870386,18896880263286.492,0.037
2024-11-22,3865.7,5535.29,54784194625791.84,41072549740513,18987066180377.8,0.0369
2024-11-21,3989.3,5712.27,56303786003510.56,42283708553737,19591197504702.703,0.0359
2024-11-20,3985.77,5707.04,56291242746534.3,42258248206351,19580222271422,0.0359
2024-11-19,3976.89,5694.32,56195546361226.73,42174457560271,19541864252962.457,0.036
2024-11-18,3950.38,5656.36,56060165600928.05,42050205065371,19407562576522.38,0.0361
2024-11-15,3968.83,5682.56,56009441449006.78,41993839756674,19499074111833.85,0.0361
2024-11-14,4039.62,5783.79,56692440552920.59,42572665150477,19850629569185.36,0.0357
2024-11-13,4110.89,5885.83,57404387338126.38,43146834143888,20195952483310.01,0.0352
2024-11-12,4085.74,5848.96,56958639518702.49,42860848008574,20077042863161.516,0.0355
2024-11-11,4131.13,5913.93,57636208955991.21,43354200309634,20301557430591.875,0.0351
2024-11-08,4104.05,5875.05,57622806337756.805,43288863023654,20168545957612.58,0.035
2024-11-07,4145.7,5934.58,58187919869593.66,43695753217002,20367800966778.48,0.0346
2024-11-06,4024.28,5759.55,56627627435726.2,42483153226890,19772299433063.926,0.0356
2024-11-05,4044.57,5788.22,56956256030027.016,42694870303372,19875619795847.195,0.0354
2024-11-04,3944.76,5645.38,55785705580586.89,41785552311871,19390810724301.348,0.0361
2024-11-01,3890.02,5567.04,55258531610790.64,41347049595067,19119735896452.266,0.0365
2024-10-31,3891.04,5567.99,55024693015138.375,41200032744265,19121881053749.55,0.0366
2024-10-30,3889.45,5565.4,55072150043213.36,41246090403326,19093126905187.117,0.0364
2024-10-29,3924.65,5615.28,55658378148573.59,41653159784084,19241691082611.227,0.036
2024-10-28,3964.16,5671.81,56151464722291.15,42056448113618,19425916639123.625,0.0356
2024-10-25,3956.42,5660.74,56165643722240.74,42013277866102,19391968782337.195,0.0356
2024-10-24,3928.83,5620.82,56029290794780.71,41867257445142,19260745067716.035,0.0357
2024-10-23,3973.21,5683.99,56530647614421.5,42261537667559,19472065032801.316,0.0354
2024-10-22,3957.78,5661.61,56334351894418.28,42095281709325,19391992102161.062,0.0355
2024-10-21,3935.2,5629.22,56142349888666.58,41867918649331,19279462195742.12,0.0355
2024-10-18,3925.23,5614.78,56203371357673.79,41901923500141,19231907767024.27,0.0355
2024-10-17,3788.22,5414.94,54669994519895.7,40703825670092,18568357327865.836,0.0365
2024-10-16,3831.59,5476.93,55270278468621.44,41179042621711,18786048560361.965,0.0361
2024-10-15,3855.99,5511.74,55398499258652.56,41333451505003,18896656147709.56,0.036
2024-10-14,3961.34,5662.29,57000035675710.74,42487595115154,19412687972621.18,0.035
2024-10-11,3887.17,5556.27,55865768458583.53,41696489974717,19049174696153.145,0.0357
2024-10-10,3997.79,5714.22,57072698111747.17,42686009827663,19584320935766.69,0.0348
2024-10-09,3955.98,5652.7,56080918987418.98,41968993214605,19379768163742.387,0.0354
2024-10-08,4256.1,6081.45,59961322980338.94,45084536844234,20852966491316.94,0.0332
2024-09-30,4017.85,5741.03,57326558230507.51,43070091732415,19678423313081.57,0.0344
2024-09-27,3703.68,5291.92,53290120788026.16,39957264088213,18144623200532.926,0.0369
2024-09-26,3545.32,5065.65,51932748924541.91,38722381138143,17379626935743.49,0.0379
2024-09-25,3401.53,4859.48,50227281093045.53,37331400503019,16678209464388.88,0.0392
2024-09-24,3351.91,4788.31,49601007620694.77,36832102917890,16430928551356.795,0.0397
2024-09-23,3212.76,4589.5,47577229997537.23,35297999679988,15749263426730.44,0.0414
2024-09-20,3201.05,4572.77,47304031619393.17,35084249422619,15688059069463.951,0.0416
2024-09-19,3196.04,4565.32,47142472155333.555,34998323996892,15664126014450.465,0.0417
2024-09-18,3171.01,4528.87,46997994464350.86,34870418403734,15543524880445.006,0.0419
2024-09-13,3159.25,4512.07,46609242610403.87,34627110305234,15483013204191.475,0.0422
2024-09-12,3172.47,4530.36,46683037381403.37,34754448025724,15543914838691.307,0.0421
2024-09-11,3186.13,4549.86,46794194449748.63,34842074759970,15606668988429.057,0.042
2024-09-10,3195.76,4562.68,47262206784451.69,35114217038345,15657680387575.945,0.0416
2024-09-09,3192.95,4558.67,47051406042098.26,35014469236991,15641750731794.475,0.0418
2024-09-06,3231.35,4612.77,47645109957599.1,35441234354389,15834052834351.16,0.0413
2024-09-05,3257.76,4650.47,47922462973510.5,35687194169715,15960172586682.19,0.0411
2024-09-04,3252.16,4642.16,47991194337394.01,35701341858786,15930794535869.72,0.041
2024-09-03,3273.43,4672.42,48416935604208.59,35989359336874,16034138507587.578,0.0406
2024-09-02,3265.01,4660.41,48678033406073.3,36144522984797,15997665999520.816,0.0403
2024-08-30,3321.43,4740.34,49204178020457.234,36530725751075,16263348589705.824,0.0368
2024-08-29,3277.68,4677.9,48992172793453.51,36263998328443,16057759414084.69,0.0357
2024-08-28,3286.5,4690.48,49577186984655.14,36604449038722,16116567239395.564,0.0344
2024-08-27,3305.33,4714.45,49882479036357.34,36850463054513,16191485351170.32,0.0342
2024-08-26,3324.22,4741.39,49799323911874.59,36878325325311,16281440926390.402,0.0342
2024-08-23,3327.19,4744.35,49786588477792.42,36907678720880,16279879268398.53,0.0341
2024-08-22,3313.14,4723.12,49604255214021.55,36768465824265,16207104517753.428,0.0342
2024-08-21,3321.64,4735.15,49547851913594.98,36752152570260,16247977616184.545,0.0342
