日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-01-10,3732.48,5356.81,54813466572988.75,40767997365584,18644888459244.78,1.3132,0.1373,1.6796,1.4934,1.3486
2025-01-09,3779.88,5423.17,55487985614604.83,41246294148155,18882758586352.914,1.3275,0.1633,1.6796,1.4935,1.3486
2025-01-08,3789.22,5436.57,55846902234216.16,41471726113518,18929618234043.348,1.3361,0.1744,1.6797,1.4937,1.3488
2025-01-07,3796.11,5444.91,55791403262881.24,41495651460727,18959267999049.33,1.333,0.1699,1.6797,1.4938,1.349
2025-01-06,3768.97,5404.64,55485720365573.05,41301341288902,18829878920221.887,1.324,0.1555,1.6797,1.494,1.3491
2025-01-03,3775.16,5413.52,55611092525114.5,41326292004234,18858509366575.71,1.327,0.162,1.6799,1.4942,1.3495
2025-01-02,3820.4,5478.38,56185183584717.34,41751136880706,19080007586067.84,1.3407,0.1826,1.6799,1.4943,1.3496
2024-12-31,3934.91,5642.6,57832855225082.06,42974496365333,19648242187083.094,1.3801,0.2654,1.6799,1.4943,1.3499
2024-12-30,3999.05,5734.58,58522901653808.59,43555876675536,19966191239302.016,1.3965,0.2909,1.6803,1.4944,1.3499
2024-12-27,3981.03,5708.06,58163656644867.8,43330072840724,19877911345379.08,1.3878,0.2764,1.6806,1.4946,1.3499
2024-12-26,3987.48,5717.07,58228194905022.63,43374229706190,19910765060127.1,1.3893,0.2782,1.6806,1.4947,1.3499
2024-12-25,3985.63,5714.38,58359869275944.7,43427297410315,19900865905346.73,1.3924,0.2823,1.6809,1.4949,1.3499
2024-12-24,3983.69,5711.53,58101459287095.31,43286615731649,19890077512600.04,1.3862,0.2741,1.6809,1.495,1.3499
2024-12-23,3933.57,5639.68,57345288030966.96,42727454724755,19636588780999.32,1.3681,0.242,1.681,1.4951,1.3499
2024-12-20,3927.74,5631.33,56933471132514.97,42510791288178,19599812590873.94,1.3583,0.2172,1.6813,1.4953,1.3499
2024-12-19,3945.46,5651.96,57190351649608.17,42725494969011,19687506131699.32,1.3633,0.2296,1.6813,1.4953,1.3499
2024-12-18,3941.89,5646.84,57312950034489.81,42821762734700,19674540781434.92,1.3663,0.2366,1.6813,1.4954,1.3499
2024-12-17,3922.03,5618.21,56980563083753.12,42610759567472,19577794359421.203,1.3583,0.2169,1.6815,1.4957,1.3499
2024-12-16,3911.84,5603.61,56235407443578.13,42017316692954,19211735536695.24,1.3442,0.1889,1.6816,1.4957,1.3499
2024-12-13,3933.18,5634.17,56199802171834.8,42094359815293,19323642083767.844,1.3433,0.1868,1.6817,1.4958,1.351
2024-12-12,4028.5,5770.54,57337183903992.58,43031211634752,19793047091200.055,1.3704,0.2444,1.6817,1.4959,1.3512
2024-12-11,3988.83,5713.66,56760518612779.69,42603441864196,19599079653168.004,1.3566,0.2119,1.6817,1.4962,1.3512
2024-12-10,3995.64,5723.11,56954533504174.93,42713396654817,19636301587336.242,1.3609,0.2214,1.6817,1.4963,1.3512
2024-12-09,3966.57,5681.43,56590979348291.73,42429728307612,19490512712107.402,1.3522,0.2025,1.6817,1.4963,1.3512
2024-12-06,3973.14,5690.84,56568314248080.46,42402971732255,19521155791930.55,1.3517,0.2016,1.6823,1.4965,1.3512
2024-12-05,3921.59,5617,55948252459752.95,41907720733891,19264799522838.133,1.3369,0.1737,1.6823,1.4965,1.3512
2024-12-04,3930.56,5629.85,56121598157407.91,42024035207262,19308322786642.414,1.341,0.1827,1.6823,1.4967,1.3513
2024-12-03,3951.89,5660.4,56141183357617.63,42117729516973,19410341156379.035,1.3415,0.1827,1.6823,1.4967,1.3514
2024-12-02,3947.63,5654.3,55847261987465.02,41951938103751,19385978481368.742,1.3344,0.1708,1.6823,1.4967,1.3516
2024-11-29,3916.58,5609.78,55510598760286.12,41578451777814,19231196951901.1,1.3264,0.1604,1.6823,1.4969,1.3517
2024-11-28,3872.55,5546.4,55096231811235.33,41229595313342,19016858645921.03,1.3164,0.1395,1.6823,1.4971,1.3524
2024-11-27,3907.04,5594.88,55506417433346.84,41553250261162,19185884728306.625,1.3261,0.1597,1.6823,1.4971,1.3525
2024-11-26,3840.18,5499.13,54689377399870.32,40926681886468,18861266965278.48,1.3066,0.1292,1.6823,1.4971,1.3526
2024-11-25,3848.09,5510.46,54632555052580.55,40924391870386,18896880263286.492,1.3053,0.1276,1.6823,1.4971,1.353
2024-11-22,3865.7,5535.29,54784194625791.84,41072549740513,18987066180377.8,1.3088,0.1304,1.6823,1.4969,1.3534
2024-11-21,3989.3,5712.27,56303786003510.56,42283708553737,19591197504702.703,1.3451,0.1856,1.6823,1.4971,1.3536
2024-11-20,3985.77,5707.04,56291242746534.3,42258248206351,19580222271422,1.3448,0.1856,1.6823,1.4971,1.3536
2024-11-19,3976.89,5694.32,56195546361226.73,42174457560271,19541864252962.457,1.3425,0.1819,1.6823,1.4971,1.3536
2024-11-18,3950.38,5656.36,56060165600928.05,42050205065371,19407562576522.38,1.3393,0.1765,1.6823,1.4971,1.3536
2024-11-15,3968.83,5682.56,56009441449006.78,41993839756674,19499074111833.85,1.338,0.1736,1.6823,1.4969,1.3534
2024-11-14,4039.62,5783.79,56692440552920.59,42572665150477,19850629569185.36,1.3543,0.2016,1.6823,1.4971,1.3536
2024-11-13,4110.89,5885.83,57404387338126.38,43146834143888,20195952483310.01,1.3713,0.2416,1.6823,1.4971,1.3534
2024-11-12,4085.74,5848.96,56958639518702.49,42860848008574,20077042863161.516,1.3606,0.2152,1.6823,1.4971,1.353
2024-11-11,4131.13,5913.93,57636208955991.21,43354200309634,20301557430591.875,1.3768,0.251,1.6823,1.4971,1.3526
2024-11-08,4104.05,5875.05,57622806337756.805,43288863023654,20168545957612.58,1.3764,0.2505,1.6823,1.4969,1.3524
2024-11-07,4145.7,5934.58,58187919869593.66,43695753217002,20367800966778.48,1.3899,0.27,1.6823,1.4971,1.3524
2024-11-06,4024.28,5759.55,56627627435726.2,42483153226890,19772299433063.926,1.3524,0.2004,1.6823,1.4971,1.3517
2024-11-05,4044.57,5788.22,56956256030027.016,42694870303372,19875619795847.195,1.3602,0.214,1.6823,1.4971,1.3516
