日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025/1/10,3732.48,5356.81,5.48135E+13,4.0768E+13,1.86449E+13,12.2559,0.4433,14.0802,12.4769,11.632
2025/1/9,3779.88,5423.17,5.5488E+13,4.12463E+13,1.88828E+13,12.4067,0.4846,14.0802,12.4776,11.632
2025/1/8,3789.22,5436.57,5.58469E+13,4.14717E+13,1.89296E+13,12.487,0.5023,14.0802,12.4786,11.632
2025/1/7,3796.11,5444.91,5.57914E+13,4.14957E+13,1.89593E+13,12.4746,0.4986,14.0802,12.4786,11.632
2025/1/6,3768.97,5404.64,5.54857E+13,4.13013E+13,1.88299E+13,12.4062,0.4833,14.0802,12.4795,11.632
2025/1/3,3775.16,5413.52,5.56111E+13,4.13263E+13,1.88585E+13,12.4343,0.4881,14.0802,12.4803,11.632
2025/1/2,3820.4,5478.38,5.61852E+13,4.17511E+13,1.908E+13,12.5626,0.513,14.0802,12.4811,11.632
2024/12/31,3934.91,5642.6,5.78329E+13,4.29745E+13,1.96482E+13,12.931,0.5897,14.0802,12.4803,11.632
2024/12/30,3999.05,5734.58,5.85229E+13,4.35559E+13,1.99662E+13,13.0853,0.6267,14.0802,12.4803,11.632
2024/12/27,3981.03,5708.06,5.81637E+13,4.33301E+13,1.98779E+13,13.005,0.61,14.0802,12.4811,11.632
2024/12/26,3987.48,5717.07,5.82282E+13,4.33742E+13,1.99108E+13,13.0194,0.6123,14.0802,12.4803,11.632
2024/12/25,3985.63,5714.38,5.83599E+13,4.34273E+13,1.99009E+13,13.0489,0.6193,14.0802,12.4802,11.632
2024/12/24,3983.69,5711.53,5.81015E+13,4.32866E+13,1.98901E+13,12.9911,0.6041,14.0802,12.4788,11.632
2024/12/23,3933.57,5639.68,5.73453E+13,4.27275E+13,1.96366E+13,12.822,0.5695,14.0802,12.4783,11.632
2024/12/20,3927.74,5631.33,5.69335E+13,4.25108E+13,1.95998E+13,12.7299,0.55,14.0802,12.4764,11.632
2024/12/19,3945.46,5651.96,5.71904E+13,4.27255E+13,1.96875E+13,12.7874,0.563,14.0802,12.476,11.632
2024/12/18,3941.89,5646.84,5.7313E+13,4.28218E+13,1.96745E+13,12.8148,0.5667,14.0802,12.4738,11.632
2024/12/17,3922.03,5618.21,5.69806E+13,4.26108E+13,1.95778E+13,12.7405,0.5535,14.0802,12.4729,11.632
2024/12/16,3911.84,5603.61,5.62354E+13,4.20173E+13,1.92117E+13,12.663,0.5387,14.0802,12.4705,11.632
2024/12/13,3933.18,5634.17,5.61998E+13,4.20944E+13,1.93236E+13,12.655,0.5385,14.0802,12.4687,11.6318
2024/12/12,4028.5,5770.54,5.73372E+13,4.30312E+13,1.9793E+13,12.9111,0.5848,14.0802,12.4684,11.6318
2024/12/11,3988.83,5713.66,5.67605E+13,4.26034E+13,1.95991E+13,12.7813,0.5621,14.0802,12.4681,11.6301
2024/12/10,3995.64,5723.11,5.69545E+13,4.27134E+13,1.96363E+13,12.8249,0.5716,14.0802,12.466,11.6293
2024/12/9,3966.57,5681.43,5.6591E+13,4.24297E+13,1.94905E+13,12.7431,0.556,14.0802,12.4651,11.6287
2024/12/6,3973.14,5690.84,5.65683E+13,4.2403E+13,1.95212E+13,12.738,0.5549,14.0802,12.4571,11.6279
2024/12/5,3921.59,5617,5.59483E+13,4.19077E+13,1.92648E+13,12.5984,0.5267,14.0802,12.4553,11.6279
2024/12/4,3930.56,5629.85,5.61216E+13,4.2024E+13,1.93083E+13,12.6374,0.5379,14.0802,12.4497,11.6278
2024/12/3,3951.89,5660.4,5.61412E+13,4.21177E+13,1.94103E+13,12.6418,0.5391,14.0802,12.4496,11.6278
2024/12/2,3947.63,5654.3,5.58473E+13,4.19519E+13,1.9386E+13,12.5756,0.523,14.0802,12.4493,11.6274
2024/11/29,3916.58,5609.78,5.55106E+13,4.15785E+13,1.92312E+13,12.4998,0.5117,14.0802,12.4484,11.6248
2024/11/28,3872.55,5546.4,5.50962E+13,4.12296E+13,1.90169E+13,12.4065,0.4914,14.0802,12.4481,11.6248
2024/11/27,3907.04,5594.88,5.55064E+13,4.15533E+13,1.91859E+13,12.4989,0.5111,14.0802,12.4481,11.6229
2024/11/26,3840.18,5499.13,5.46894E+13,4.09267E+13,1.88613E+13,12.3149,0.4679,14.0802,12.4473,11.6224
2024/11/25,3848.09,5510.46,5.46326E+13,4.09244E+13,1.88969E+13,12.3021,0.4658,14.0802,12.4473,11.6223
2024/11/22,3865.7,5535.29,5.47842E+13,4.10725E+13,1.89871E+13,12.3362,0.4755,14.0802,12.4469,11.6214
2024/11/21,3989.3,5712.27,5.63038E+13,4.22837E+13,1.95912E+13,12.6784,0.544,14.0802,12.4473,11.6214
2024/11/20,3985.77,5707.04,5.62912E+13,4.22582E+13,1.95802E+13,12.6756,0.5432,14.0802,12.4465,11.6212
2024/11/19,3976.89,5694.32,5.61955E+13,4.21745E+13,1.95419E+13,12.654,0.5412,14.0802,12.4453,11.6192
