日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权
2025/1/10,3732.48,5356.81,5.48135E+13,4.0768E+13,1.86449E+13,0.0378
2025/1/9,3779.88,5423.17,5.5488E+13,4.12463E+13,1.88828E+13,0.0373
2025/1/8,3789.22,5436.57,5.58469E+13,4.14717E+13,1.89296E+13,0.0371
2025/1/7,3796.11,5444.91,5.57914E+13,4.14957E+13,1.89593E+13,0.0371
2025/1/6,3768.97,5404.64,5.54857E+13,4.13013E+13,1.88299E+13,0.0373
2025/1/3,3775.16,5413.52,5.56111E+13,4.13263E+13,1.88585E+13,0.0372
2025/1/2,3820.4,5478.38,5.61852E+13,4.17511E+13,1.908E+13,0.0368
2024/12/31,3934.91,5642.6,5.78329E+13,4.29745E+13,1.96482E+13,0.0357
2024/12/30,3999.05,5734.58,5.85229E+13,4.35559E+13,1.99662E+13,0.0352
2024/12/27,3981.03,5708.06,5.81637E+13,4.33301E+13,1.98779E+13,0.0355
2024/12/26,3987.48,5717.07,5.82282E+13,4.33742E+13,1.99108E+13,0.0354
2024/12/25,3985.63,5714.38,5.83599E+13,4.34273E+13,1.99009E+13,0.0353
2024/12/24,3983.69,5711.53,5.81015E+13,4.32866E+13,1.98901E+13,0.0354
2024/12/23,3933.57,5639.68,5.73453E+13,4.27275E+13,1.96366E+13,0.0359
2024/12/20,3927.74,5631.33,5.69335E+13,4.25108E+13,1.95998E+13,0.0361
2024/12/19,3945.46,5651.96,5.71904E+13,4.27255E+13,1.96875E+13,0.036
2024/12/18,3941.89,5646.84,5.7313E+13,4.28218E+13,1.96745E+13,0.0359
2024/12/17,3922.03,5618.21,5.69806E+13,4.26108E+13,1.95778E+13,0.0361
2024/12/16,3911.84,5603.61,5.62354E+13,4.20173E+13,1.92117E+13,0.0365
2024/12/13,3933.18,5634.17,5.61998E+13,4.20944E+13,1.93236E+13,0.0364
2024/12/12,4028.5,5770.54,5.73372E+13,4.30312E+13,1.9793E+13,0.0357
2024/12/11,3988.83,5713.66,5.67605E+13,4.26034E+13,1.95991E+13,0.036
2024/12/10,3995.64,5723.11,5.69545E+13,4.27134E+13,1.96363E+13,0.0358
2024/12/9,3966.57,5681.43,5.6591E+13,4.24297E+13,1.94905E+13,0.036
2024/12/6,3973.14,5690.84,5.65683E+13,4.2403E+13,1.95212E+13,0.036
2024/12/5,3921.59,5617,5.59483E+13,4.19077E+13,1.92648E+13,0.0364
2024/12/4,3930.56,5629.85,5.61216E+13,4.2024E+13,1.93083E+13,0.0363
2024/12/3,3951.89,5660.4,5.61412E+13,4.21177E+13,1.94103E+13,0.0363
2024/12/2,3947.63,5654.3,5.58473E+13,4.19519E+13,1.9386E+13,0.0365
2024/11/29,3916.58,5609.78,5.55106E+13,4.15785E+13,1.92312E+13,0.0367
2024/11/28,3872.55,5546.4,5.50962E+13,4.12296E+13,1.90169E+13,0.0368
2024/11/27,3907.04,5594.88,5.55064E+13,4.15533E+13,1.91859E+13,0.0364
2024/11/26,3840.18,5499.13,5.46894E+13,4.09267E+13,1.88613E+13,0.037
2024/11/25,3848.09,5510.46,5.46326E+13,4.09244E+13,1.88969E+13,0.037
2024/11/22,3865.7,5535.29,5.47842E+13,4.10725E+13,1.89871E+13,0.0369
2024/11/21,3989.3,5712.27,5.63038E+13,4.22837E+13,1.95912E+13,0.0359
2024/11/20,3985.77,5707.04,5.62912E+13,4.22582E+13,1.95802E+13,0.0359
2024/11/19,3976.89,5694.32,5.61955E+13,4.21745E+13,1.95419E+13,0.036
2024/11/18,3950.38,5656.36,5.60602E+13,4.20502E+13,1.94076E+13,0.0361
2024/11/15,3968.83,5682.56,5.60094E+13,4.19938E+13,1.94991E+13,0.0361
2024/11/14,4039.62,5783.79,5.66924E+13,4.25727E+13,1.98506E+13,0.0357
2024/11/13,4110.89,5885.83,5.74044E+13,4.31468E+13,2.0196E+13,0.0352
2024/11/12,4085.74,5848.96,5.69586E+13,4.28608E+13,2.0077E+13,0.0355
2024/11/11,4131.13,5913.93,5.76362E+13,4.33542E+13,2.03016E+13,0.0351
2024/11/8,4104.05,5875.05,5.76228E+13,4.32889E+13,2.01685E+13,0.035
2024/11/7,4145.7,5934.58,5.81879E+13,4.36958E+13,2.03678E+13,0.0346
2024/11/6,4024.28,5759.55,5.66276E+13,4.24832E+13,1.97723E+13,0.0356
2024/11/5,4044.57,5788.22,5.69563E+13,4.26949E+13,1.98756E+13,0.0354
2024/11/4,3944.76,5645.38,5.57857E+13,4.17856E+13,1.93908E+13,0.0361
2024/11/1,3890.02,5567.04,5.52585E+13,4.1347E+13,1.91197E+13,0.0365
2024/10/31,3891.04,5567.99,5.50247E+13,4.12E+13,1.91219E+13,0.0366
2024/10/30,3889.45,5565.4,5.50722E+13,4.12461E+13,1.90931E+13,0.0364
2024/10/29,3924.65,5615.28,5.56584E+13,4.16532E+13,1.92417E+13,0.036
2024/10/28,3964.16,5671.81,5.61515E+13,4.20564E+13,1.94259E+13,0.0356
2024/10/25,3956.42,5660.74,5.61656E+13,4.20133E+13,1.9392E+13,0.0356
2024/10/24,3928.83,5620.82,5.60293E+13,4.18673E+13,1.92607E+13,0.0357
2024/10/23,3973.21,5683.99,5.65306E+13,4.22615E+13,1.94721E+13,0.0354
2024/10/22,3957.78,5661.61,5.63344E+13,4.20953E+13,1.9392E+13,0.0355
2024/10/21,3935.2,5629.22,5.61423E+13,4.18679E+13,1.92795E+13,0.0355
2024/10/18,3925.23,5614.78,5.62034E+13,4.19019E+13,1.92319E+13,0.0355
2024/10/17,3788.22,5414.94,5.467E+13,4.07038E+13,1.85684E+13,0.0365
2024/10/16,3831.59,5476.93,5.52703E+13,4.1179E+13,1.8786E+13,0.0361
2024/10/15,3855.99,5511.74,5.53985E+13,4.13335E+13,1.88967E+13,0.036
2024/10/14,3961.34,5662.29,5.7E+13,4.24876E+13,1.94127E+13,0.035
2024/10/11,3887.17,5556.27,5.58658E+13,4.16965E+13,1.90492E+13,0.0357
2024/10/10,3997.79,5714.22,5.70727E+13,4.2686E+13,1.95843E+13,0.0348
2024/10/9,3955.98,5652.7,5.60809E+13,4.1969E+13,1.93798E+13,0.0354
2024/10/8,4256.1,6081.45,5.99613E+13,4.50845E+13,2.0853E+13,0.0332
2024/9/30,4017.85,5741.03,5.73266E+13,4.30701E+13,1.96784E+13,0.0344
2024/9/27,3703.68,5291.92,5.32901E+13,3.99573E+13,1.81446E+13,0.0369
2024/9/26,3545.32,5065.65,5.19327E+13,3.87224E+13,1.73796E+13,0.0379
2024/9/25,3401.53,4859.48,5.02273E+13,3.73314E+13,1.66782E+13,0.0392
2024/9/24,3351.91,4788.31,4.9601E+13,3.68321E+13,1.64309E+13,0.0397
2024/9/23,3212.76,4589.5,4.75772E+13,3.5298E+13,1.57493E+13,0.0414
2024/9/20,3201.05,4572.77,4.7304E+13,3.50842E+13,1.56881E+13,0.0416
2024/9/19,3196.04,4565.32,4.71425E+13,3.49983E+13,1.56641E+13,0.0417
